0,Mike Stofmeel,7,Bently Continental GT3 2018,21,00:01:55.3650000,4294881613
1,Travis Wallace,14,Lexus RC F GT3,21,00:01:55.7100000,4294888638
2,Brandyn Purcell,33,Mercedes AMG GT3,21,00:01:56.8890000,4294926146
3,Luis Hinojos,911,Porsche 991 GT3,21,00:01:56.5470000,4294927115
4,Elyess Bouzouita,36,BMW M6 GT3,21,00:01:56.7960000,4294927958
5,Leandro Cairol,11,Ferrari 488 GT3,21,00:01:55.4610000,4294928643
6,Tom Lebeuf,21,Audi R8 LMS,21,00:01:57.0270000,4294938059
7,Wesley Stokes,472,Mercedes AMG GT3,21,00:01:57.3660000,4294940918
8,Johnny Major,77,Lamborghini Huracan GT3,21,00:01:57.2820000,4294950801
9,Jonathan Young,961,Ferrari 488 GT3,21,00:01:58.3140000,4294964077
10,Murray Ewonchuk,34,BMW M6 GT3,20,00:01:57.4920000,4294914544
11,Gerardo Del Valle,25,Audi R8 LMS,20,00:01:57.4680000,4294915917
12,James Butler,540,Porsche 991 GT3,20,00:01:59.2320000,4294929460
13,Michael Jeffries,51,Ferrari 488 GT3,20,00:02:00.9570000,4294903455
14,Car Heroes,912,Porsche 991 GT3,20,00:01:58.1280000,4294939169
15,John Barker,30,Honda NSX GT3,19,00:01:58.5720000,4294916999
16,Michael Magas,8,Bently Continental GT3 2018,19,00:01:59.2440000,4294931770
17,John Pecchia,114,Lexus RC F GT3,18,00:02:00.8130000,4294923607



